,Road,Plains,Forest,Hill,Mountain,River,Ocean,Cliff,Blocked
Foot,0.75,1,2,4,N/A,N/A,N/A,N/A,N/A
Advanced Foot,0.75,1,2,4,N/A,N/A,N/A,N/A,N/A
Fighters,0.75,1,2,3,N/A,N/A,N/A,N/A,N/A
Armor,0.75,1,2,N/A,N/A,N/A,N/A,N/A,N/A
Bandits,0.75,1,2,3,4,5,N/A,N/A,N/A
Pirates,0.75,1,2,3,N/A,N/A,2,N/A,N/A
Berserker,0.75,1,2,3,4,N/A,3,N/A,N/A
Mages,0.75,1,2,4,N/A,2,2,N/A,N/A
Light Cavalry,0.75,1,2,N/A,N/A,N/A,N/A,N/A,N/A
Advanced Light Cavalry,0.75,1,2,5,N/A,5,N/A,N/A,N/A
Heavy Cavalry,0.75,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Advanced Heavy Cavalry,0.75,1,3,6,N/A,N/A,N/A,N/A,N/A
Fliers,1,1,1,1,1,1,1,1,N/A
