Name,Type,Description,Notes,Skills,Damage Type,Hit,Might,Crit,Range,Weight,Durability,WEXP,Rank,Sure?,Category
Training Sword,Sword,,,Mastermind,Physical,,,0,0,,,2,D,Yes,"Training, Standard"
Iron Sword,Sword,,,,Physical,100,6,0,0,6,20,1,D,Yes,Standard
Iron Blade,Sword,,,,Physical,90,12,0,0,9,20,1,D,Yes,Heavy
Baseball Bat,Sword,,Joke weapon; EarthBound reference,,Physical,,4,0,0,,,1,D,Yes,Joke
Slim Sword,Sword,,,,Physical,∞,5,0,0,2,,1,D,Yes,Miscellaneous
Shadow Sword,Sword,Deals recoil damage,-50% HP if discarded,,Physical,100,25,0,0,,,1,D,Yes,Risk-reward
Bronze Sword,Sword,,,,Physical,90,10,0,0,10,40,1,C,Yes,Standard
Bronze Blade,Sword,,,,Physical,80,16,0,0,13,40,1,C,Yes,Heavy
Wingclipper,Sword,Effective against flying units,,,Physical,,,0,0,,,1,C,Yes,Effective
Shadowkiller,Sword,Effective against monsters,,,Physical,,,0,0,,,1,C,Yes,Effective
Axe Splitter,Sword,Effective against axe infantry,,,Physical,,,0,0,,,1,C,Yes,Effective
Armorslayer,Sword,Effective against armored units,,,Physical,,,0,0,,,1,C,Yes,Effective
Orcrist,Sword,Grants Scout,,,Physical,,,0,1,,,,C,No,???
Steel Sword,Sword,,,,Physical,100,14,0,0,8,30,1,B,Yes,Standard
Steel Blade,Sword,,,,Physical,90,20,0,0,11,30,1,B,Yes,Heavy
Speareaver,Sword,,,,Physical,,,0,0,,,1,B,Yes,Reaver
Gale Blade,Sword,"Falcon Knights only, effective against fliers",,,"Physical, Magical",,,0,"0, (0)-2",,,1,B,Yes,"Dual, Magic Weapon, Effective, Wind"
Levin Sword,Sword,,,,"Physical, Magical",,,0,"0, (0)-2",,,1,B,Yes,"Dual, Magic Weapon, Effective, Lightning"
Astral Sword,Sword,,,Astra,Physical,,,0,0,,,1,B,Yes,Skill
Rapier,Sword,Effective against mounted and armored units,,,Physical,110,5,0,0,3,30,1,B,Yes,Effective
Sword of Dawn,Sword,Summons four Bonewakers for 5 durability,,,Physical,,,0,0,,20,1,B,Yes,Skill
Stunblade,Sword,Inflicts Solidification,,,Physical,140,12,0,0,16,,,B,Yes,
Killing Edge,Sword,,,,Physical,105,9,25,0,9,20,1,B,Yes,Killer
Berserking Blade,Sword,,,,Physical,,,0,0,,,1,B,Yes,Status
Silver Sword,Sword,,,,Physical,105,18,0,0,9,20,1,A,Yes,Standard
Silver Blade,Sword,,,,Physical,95,24,0,0,12,20,1,A,Yes,Heavy
Brave Sword,Sword,,,Bravery,Physical,,13,0,0,13,,1,A,Yes,Brave
Zweihänder,Sword,,,,,,19,0,0,,,,A,Yes,
Gutsy Bat,Sword,A baseball bat that fills you with courage. +10 luck,EarthBound reference,,Physical,94 (104),,25,0,,,1,A,Yes,"Joke, Killer, Stat Boost"
Flamberge,Sword,,,,"Physical, Magical",,,0,"1, 1-2",,,,A,No,Dual
Runesword,Sword,,,Sol,Magical,,,0,(0)-2,,,1,A,Yes,"Magic Weapon, Healing, Skill"
Stormbringer,Sword,Grants Lifetaker,,,Physical,,,0,0,,,1,A,Yes,"Healing, Skill"
Kingmaker,Sword,+1 secondary strike,,"Charisma, Charm",Physical,,,0,0,,,1,A,Yes,Skill
Sword of Slumber,Sword,Puts target to sleep on hit for 1 turn. Ends combat when it connects,,,Physical,,,0,0,15,,1,A,Yes,Status
Dullahan,Sword,,,,Physical,,,0,0,17,,,A,Yes,Miscellaneous
Valmanwë,Sword,+5 strikes (1 magic might),,,Physical,,,0,0,,,1,S,Yes,"Regalia, Magic Weapon, Stat Boost, Skill, Wind"
Lævateinn,Sword,"+5 magic, +5 resistance",,,"Physical, Magical",,,0,"0, (0)-2",,,1,S,Yes,"Dual, Magic Weapon, Regalia, Stat Boost, Fire"
Dáinsleif,Sword,,,,Physical,,,0,1,,,,S,No,???
Mercurius,Sword,x2 EV gain,,,Physical,,,0,0,,,10,S,Yes,Miscellaneous
Master Sword,Sword,+1 primary strike.,,,Physical,115,16,0,0,10,20,1,S,Yes,"Standard, Brave, Skill"
Diamond Blade,Sword,,,,Physical,,,0,0,,,,S,Yes,Heavy
Yltao Ana,Sword,Halves enemy defense,Can be forged into other weapon types.,,"Physical, Pierce, Magical",100,25,0,"0, 1-2, (0)-2",13,22,1,S,Yes,"Regalia, Piercing, Skill"
Yltao Cata,Sword,Heals 1 HP for every 2 HP dealt,Can be forged into other weapon types.,,"Physical, Pierce, Magical",130,18,0,"0, 1-2, (0)-2",8,22,1,S,Yes,"Regalia, Healing, Skill"
Muramasa,Sword,+2 might every kill (boost decreases by 1 per turn and resets at chapter end),,,Physical,,,0,0,,,1,Prf,Yes,Skill
Zanbato,Sword,Effective against mounted units,,,Physical,,,0,0,,,1,Prf,Yes,Effective
Zantetsuken,Sword,Effective against armors,,,Physical,,,0,0,,,,Prf,,
Gurthang,Sword,,,,Physical,,,,1,,,,S,No,???
Training Spear,Spear,x2 EV gain,,,Physical,,,0,0,,,2,D,Yes,"Training, Standard"
Iron Spear,Spear,,,,Physical,95,8,0,0,7,20,1,D,Yes,Standard
Iron Greatspear,Spear,,,,Physical,85,14,0,0,10,20,1,D,Yes,Heavy
Slim Spear,Spear,,,,Physical,∞,7,0,0,5,20,1,D,Yes,Miscellaneous
Cursed Spear,Spear,-15 Luck,-50% HP if discarded,,Physical,70,29,0,0,,,1,D,Yes,Risk-reward
Spear of Faith,Spear,It only misses when you aren't believing hard enough.,Meme weapon,,Physical,1,20,∞,0,,4,1,D,Yes,"Joke, Risk-reward"
Bronze Spear,Spear,,,,Physical,95,12,0,0,11,40,1,C,Yes,Standard
Bronze Greatspear,Spear,,,,Physical,85,18,0,0,14,40,1,C,Yes,Heavy
Javelin,Spear,,,,"Physical, Pierce",80,5,0,"0, 1-2",12,20,1,C,Yes,"Throwing, Dual"
Glaive,Spear,Effective against mounts. Halberdier only,Ridersbane,,Physical,105,13,0,0,,,1,C,Yes,Effective
Bright Spear,Spear,Effective against monsters,,,Physical,,,0,0,,,1,C,Yes,Effective
Steel Spear,Spear,,,,Physical,95,16,0,0,9,30,1,B,Yes,Standard
Steel Greatspear,Spear,,,,Physical,85,22,0,0,12,30,1,B,Yes,Heavy
Killer Spear,Spear,,,,Physical,100,11,25,0,10,20,1,B,Yes,Killer
Axereaver,Spear,,,,Physical,,,0,0,,,1,B,Yes,Reaver
Guard Spear,Spear,-5 damage taken,,,Physical,,,0,0,,,1,B,Yes,Stat Boost
Solar Spear,Spear,,,Sol,Physical,,,0,0,,,1,B,Yes,"Skill, Healing"
Saunion,Spear,,,,Pierce,,14,0,1-3,,,1,B,Yes,Throwing
Toxin Spear,Spear,Poisons opponent,,,Physical,,,0,0,,,1,B,Yes,Status
Pilum,Spear,,,,"Physical, Pierce",90,9,0,"0, 1-2",12,20,1,B,Yes,"Throwing, Dual"
Silver Spear,Spear,,,,Physical,100,20,0,0,10,20,1,A,Yes,Standard
Silver Greatspear,Spear,,,,Physical,90,26,0,0,13,20,1,A,Yes,Heavy
Brave Spear,Spear,+1 primary and secondary strike,,,Physical,,15,0,0,14,,1,A,Yes,Brave
Arrow of Indra,Spear,,,,"Physical, Magical",,,0,"0, (0)-2",,,1,A,Yes,"Dual, Magic Weapon"
Gungnir,Spear,Legendary spear of lightning. +10 skill. +1 strike after each hit (6 magic might),,,"Physical, Pierce",∞,,0 (10),"0, 1-2",,,,S,Yes,"Regalia, Throwing, Magic Weapon, Stat Boost"
